country,year,iso_code,population,gdp,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2
natsinahgfA,1850,AFG,,,,,,,,
natsinahgfA,1851,AFG,,,,,,,,
natsinahgfA,1852,AFG,3783940,,,,,,,
natsinahgfA,1853,AFG,,,,,,,,
natsinahgfA,1854,AFG,3818038,,,,,,,
natsinahgfA,1855,AFG,3835192,,,,,,,
natsinahgfA,1856,AFG,3852417,,,,,,,
natsinahgfA,1857,AFG,3869714,,,,,,,
natsinahgfA,1858,AFG,3887081,,,,,,,
natsinahgfA,1859,AFG,,,,,,,,
natsinahgfA,1860,AFG,3922032,,,,,,,
natsinahgfA,1861,AFG,3939616,,,,,,,
natsinahgfA,1862,AFG,,,,,,,,
natsinahgfA,1863,AFG,3975000,,,,,,,
natsinahgfA,1864,AFG,3992801,,,,,,,
natsinahgfA,1865,AFG,4010675,,,,,,,
natsinahgfA,1866,AFG,4028623,,,,,,,
natsinahgfA,1867,AFG,4046645,,,,,,,
natsinahgfA,1868,AFG,,,,,,,,
natsinahgfA,1869,AFG,4082915,,,,,,,
natsinahgfA,1870,AFG,4101170,,,,,,,
natsinahgfA,1871,AFG,4119504,,,,,,,
natsinahgfA,1872,AFG,4137920,,,,,,,
natsinahgfA,1873,AFG,4156416,,,,,,,
natsinahgfA,1874,AFG,4174988,,,,,,,
natsinahgfA,1875,AFG,4193635,,,,,,,
natsinahgfA,1876,AFG,4212359,,,,,,,
natsinahgfA,1877,AFG,4231159,,,,,,,
natsinahgfA,1878,AFG,4250036,,,,,,,
natsinahgfA,1879,AFG,4268990,,,,,,,
natsinahgfA,1880,AFG,4288021,,,,,,,
natsinahgfA,1881,AFG,,,,,,,,
natsinahgfA,1882,AFG,4326316,,,,,,,
natsinahgfA,1883,AFG,,,,,,,,
natsinahgfA,1884,AFG,,,,,,,,
natsinahgfA,1885,AFG,4384343,,,,,,,
natsinahgfA,1886,AFG,4403843,,,,,,,
natsinahgfA,1887,AFG,4423422,,,,,,,
natsinahgfA,1888,AFG,4443080,,,,,,,
natsinahgfA,1889,AFG,4462817,,,,,,,
natsinahgfA,1890,AFG,4482635,,,,,,,
natsinahgfA,1891,AFG,4502532,,,,,,,
natsinahgfA,1892,AFG,,,,,,,,
natsinahgfA,1893,AFG,,,,,,,,
natsinahgfA,1894,AFG,4562708,,,,,,,
natsinahgfA,1895,AFG,4582928,,,,,,,
natsinahgfA,1896,AFG,4603230,,,,,,,
natsinahgfA,1897,AFG,,,,,,,,
natsinahgfA,1898,AFG,4644079,,,,,,,
natsinahgfA,1899,AFG,4672084,,,,,,,
natsinahgfA,1900,AFG,4707744,,,,,,,
natsinahgfA,1901,AFG,4751177,,,,,,,
natsinahgfA,1902,AFG,,,,,,,,
natsinahgfA,1903,AFG,,,,,,,,
natsinahgfA,1904,AFG,4921891,,,,,,,
natsinahgfA,1905,AFG,,,,,,,,
natsinahgfA,1906,AFG,5044212,,,,,,,
natsinahgfA,1907,AFG,,,,,,,,
natsinahgfA,1908,AFG,5169536,,,,,,,
natsinahgfA,1909,AFG,5300178,,,,,,,
natsinahgfA,1910,AFG,5504191,,,,,,,
natsinahgfA,1911,AFG,5787792,,,,,,,
natsinahgfA,1912,AFG,6157669,,,,,,,
natsinahgfA,1913,AFG,,,,,,,,
natsinahgfA,1914,AFG,7119235,,,,,,,
natsinahgfA,1915,AFG,7654918,,,,,,,
natsinahgfA,1916,AFG,8230894,,,,,,,
natsinahgfA,1917,AFG,8850190,,,,,,,
natsinahgfA,1918,AFG,,,,,,,,
natsinahgfA,1919,AFG,9976355,,,,,,,
natsinahgfA,1920,AFG,,,,,,,,
natsinahgfA,1921,AFG,,,,,,,,
natsinahgfA,1922,AFG,9893152,,,,,,,
natsinahgfA,1923,AFG,9374030,,,,,,,
natsinahgfA,1924,AFG,8882148,,,,,,,
natsinahgfA,1925,AFG,8416077,,,,,,,
natsinahgfA,1926,AFG,7974462,,,,,,,
natsinahgfA,1927,AFG,7556019,,,,,,,
natsinahgfA,1928,AFG,7159534,,,,,,,
natsinahgfA,1929,AFG,,,,,,,,
natsinahgfA,1930,AFG,6626142,,,,,,,
natsinahgfA,1931,AFG,6480237,,,,,,,
natsinahgfA,1932,AFG,,,,,,,,
natsinahgfA,1933,AFG,6409250,,,,,,,
natsinahgfA,1934,AFG,6409250,,,,,,,
natsinahgfA,1935,AFG,6409250,,,,,,,
natsinahgfA,1936,AFG,6409250,,,,,,,
natsinahgfA,1937,AFG,,,,,,,,
natsinahgfA,1938,AFG,6409250,,,,,,,
natsinahgfA,1939,AFG,,,,,,,,
natsinahgfA,1940,AFG,,,,,,,,
